Model,Dataset,Kind of input,Steps ahead predicted,Test MMRE,MONETÁRIO?,AUTOCOVARIÂNCIA
LSTM,NSW Australia Electricity Demand,Grouped into boxplots,1,0.3509,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,NSW Australia Electricity Demand,Grouped into boxplots,5,0.4281,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,NSW Australia Electricity Demand,Grouped into boxplots,20,0.3561,NÃO É COTAÇÃO DE MOEDAS,PEAKS AT FIXED DISTANCES
LSTM,Household Energy Data,Raw series,1,0.5477,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Raw series,5,0.3917,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Raw series,20,2.8914,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Grouped into boxplots,1,0.7166,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Grouped into boxplots,5,1.0352,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,Household Energy Data,Grouped into boxplots,20,0.646,NÃO É COTAÇÃO DE MOEDAS,CENTERED AUTOCOVARIANCE
LSTM,EUR/USD,Raw series,1,0.2855,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Raw series,5,0.0486,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Raw series,20,0.1455,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Grouped into boxplots,1,0.1841,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Grouped into boxplots,5,0.2204,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,EUR/USD,Grouped into boxplots,20,0.2405,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Raw series,1,0.1956,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Raw series,5,0.3694,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Raw series,20,0.0153,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Grouped into boxplots,1,0.2302,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Grouped into boxplots,5,0.2684,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,BRL/USD,Grouped into boxplots,20,0.1922,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/JPY,Raw series,1,0.0221,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/JPY,Raw series,5,0.1815,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/JPY,Raw series,20,0.0827,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/JPY,Grouped into boxplots,1,0.215,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/JPY,Grouped into boxplots,5,0.1928,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/JPY,Grouped into boxplots,20,0.2491,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Bitcoin,Raw series,1,0.9528,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Bitcoin,Raw series,5,1.1916,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Bitcoin,Raw series,20,0.3102,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Bitcoin,Grouped into boxplots,1,1.8854,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Bitcoin,Grouped into boxplots,5,0.6022,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,Bitcoin,Grouped into boxplots,20,3.3407,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,GBP/USD,Raw series,1,0.1624,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,GBP/USD,Raw series,5,0.079,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,GBP/USD,Raw series,20,0.0876,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,GBP/USD,Grouped into boxplots,1,0.1496,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,GBP/USD,Grouped into boxplots,5,0.1965,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,GBP/USD,Grouped into boxplots,20,0.2127,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/CHF,Raw series,1,0.0676,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/CHF,Raw series,5,0.038,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/CHF,Raw series,20,0.1214,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/CHF,Grouped into boxplots,1,0.206,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/CHF,Grouped into boxplots,5,0.2468,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
LSTM,USD/CHF,Grouped into boxplots,20,0.2348,É COTAÇÃO DE MOEDAS,SPREAD OUT AUTOCOVARIANCE
