win_size,filters_conv_1,kernel_size_conv_1[0],kernel_size_conv_1[1],activation_conv_1,pool_size_1[0],pool_type_1,filters_conv_2,kernel_size_conv_2[0],activation_conv_2,dense_neurons,dense_activation,optimizer,loss,w2,w3,w4,h4,score
373,41,99,2,swish,20,max,15,10,relu,217,elu,adam,mean_squared_error,275,13,4,4,0.6447594328559578
352,42,96,2,swish,36,max,14,5,relu,125,relu,sgd,mean_squared_error,257,7,3,4,-1
457,40,93,2,swish,17,max,15,16,relu,352,relu,sgd,mean_absolute_percentage_error,365,21,6,4,0.7308018027799431
273,44,90,2,swish,4,max,16,31,relu,818,sigmoid,sgd,mean_squared_error,184,46,16,4,0.5911619737353716
443,45,94,2,sigmoid,14,max,17,23,relu,161,relu,sgd,mean_squared_error,350,25,3,4,0.7777231954204308
387,49,100,2,swish,10,max,16,25,relu,110,relu,sgd,mean_squared_error,288,28,4,4,-1
413,48,91,2,swish,1,max,24,68,relu,3006,relu,sgd,mean_squared_error,323,323,256,4,-1
329,46,88,2,swish,1,max,17,75,relu,8969,linear,sgd,mean_squared_error,242,242,168,4,-1
429,43,87,2,swish,11,max,15,27,relu,245,relu,sgd,mean_squared_error,343,31,5,4,-1
304,45,66,2,linear,6,max,16,31,relu,565,relu,adagrad,mean_squared_error,239,39,9,4,0.7448623306776606
394,41,108,2,swish,8,max,15,29,relu,317,relu,sgd,mean_squared_error,287,35,7,4,-1
316,42,89,5,swish,4,max,15,48,relu,106,swish,sgd,mean_squared_error,228,57,10,1,-1
294,44,76,2,swish,1,max,16,90,swish,1102,relu,sgd,mean_squared_error,219,219,130,4,-1
358,43,98,2,swish,8,max,14,25,sigmoid,409,relu,sgd,mean_squared_error,261,32,8,4,0.6910573011946073
378,46,103,2,elu,5,max,18,32,relu,893,relu,sgd,mean_squared_error,276,55,24,4,-1
281,40,90,2,swish,3,max,15,53,relu,689,relu,sgd,mean_squared_error,192,64,12,4,-1
252,41,83,2,swish,3,max,15,13,relu,938,relu,sgd,mean_squared_error,170,56,44,4,0.8045986441715912
201,42,66,2,swish,29,max,13,2,relu,130,relu,sgd,mean_squared_error,136,4,3,4,0.9579924951023098
